RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
25.59,6.00,945.00,945.18,4.00,112.60,112.99,990.00,400.01,450.00,400.01,450.0,99.97,202.4,202.43,0.83,0.00,28.69,33.78,77.15,404.78,407.18,407.21,409.02,411.13,414.92,418.09,424.10,430.62,430.89,429.35,428.06,424.08,420.80,,2025-02-13 11:40:08,27,Exp003_R150_#2674_3719,19.23,16768,73.0,22.12,241163,23.315,37.82,304139,13.187,Stream 2 - R150
331.31,6.00,945.00,944.94,4.00,112.60,112.99,990.00,402.46,450.00,402.46,450.0,100.01,202.4,202.39,0.79,0.00,28.69,32.24,77.14,406.29,408.67,408.87,410.57,412.73,416.46,419.81,425.93,432.33,432.65,431.02,429.75,425.83,422.52,,2025-02-13 11:45:14,27,Exp003_R150_#2674_3721,19.24,16724,73.0,22.12,243211,23.513,37.82,302295,13.107,Stream 2 - R150
633.59,6.00,945.00,945.11,4.00,112.60,113.16,990.00,407.68,450.00,407.68,450.0,100.0,202.4,202.40,0.80,0.00,28.70,32.31,77.14,409.96,412.39,412.66,414.43,416.57,420.37,423.85,430.07,436.70,436.94,435.11,433.75,429.77,426.44,,2025-02-13 11:50:16,27,Exp003_R150_#2674_3722,19.24,16511,73.0,22.12,241974,23.393,37.8,311900,13.524,Stream 2 - R150
937.58,6.00,945.00,945.04,4.00,112.60,112.87,990.00,412.76,450.00,412.76,450.0,100.02,202.4,202.40,0.79,0.00,28.68,32.50,77.14,414.67,417.16,417.36,419.26,421.33,425.15,428.88,435.30,441.90,442.11,440.21,438.74,434.55,431.29,,2025-02-13 11:55:20,27,Exp003_R150_#2674_3724,19.23,16146,72.0,22.12,239434,23.148,37.79,323475,14.026,Stream 2 - R150
1241.64,6.00,945.00,945.05,4.00,112.60,112.93,990.00,417.83,450.00,417.83,450.0,100.01,202.4,202.40,0.79,0.00,28.69,32.11,77.14,419.72,422.15,422.37,424.26,426.46,430.41,434.20,440.75,447.45,447.62,445.59,443.94,439.71,436.32,,2025-02-13 12:00:24,27,Exp003_R150_#2674_3726,19.23,16269,72.0,22.12,239034,23.109,37.79,333005,14.439,Stream 2 - R150
1547.33,6.00,945.00,944.95,4.00,112.60,113.04,990.00,422.89,450.00,422.89,450.0,100.01,202.4,202.39,0.78,0.00,28.69,32.30,77.14,425.03,427.48,427.73,429.63,432.05,435.82,439.88,446.59,453.31,453.30,451.03,449.29,444.88,441.54,,2025-02-13 12:05:30,27,Exp003_R150_#2674_3727,19.23,15805,71.0,22.12,238576,23.065,37.78,337780,14.646,Stream 2 - R150
1849.56,6.00,945.00,944.99,4.00,112.60,112.92,990.00,427.97,450.00,427.97,450.0,100.02,202.4,202.41,0.75,0.00,28.69,32.66,77.14,430.31,432.71,433.09,434.96,437.47,441.31,445.45,452.29,458.99,458.87,456.31,454.41,450.13,446.74,,2025-02-13 12:10:32,27,Exp003_R150_#2674_3729,19.22,15837,71.0,22.11,240007,23.203,37.78,337338,14.627,Stream 2 - R150
2153.62,6.00,945.00,945.01,4.00,112.60,113.03,990.00,433.03,450.00,433.03,450.0,100.01,202.4,202.40,0.73,0.00,28.69,32.29,77.14,435.54,437.93,438.30,440.25,442.85,446.60,450.93,457.88,464.55,464.35,461.54,459.55,455.18,451.89,,2025-02-13 12:15:36,27,Exp003_R150_#2674_3731,19.23,16141,72.0,22.12,237312,22.942,37.77,350245,15.186,Stream 2 - R150
2457.54,6.00,945.00,945.03,4.00,112.60,112.95,990.00,438.1,450.00,438.1,450.0,100.0,202.4,202.39,0.71,0.00,28.69,31.90,77.14,440.75,443.18,443.47,445.43,448.01,451.93,456.38,463.37,470.02,469.64,466.66,464.52,460.08,456.75,,2025-02-13 12:20:40,27,Exp003_R150_#2674_3732,19.23,16093,72.0,22.12,238630,23.07,37.77,350073,15.179,Stream 2 - R150
2763.36,6.00,945.00,944.98,4.00,112.60,113.02,990.00,443.17,450.00,443.17,450.0,100.02,202.4,202.41,0.71,0.00,28.69,32.74,77.14,445.93,448.30,448.69,450.61,453.24,457.10,461.67,468.73,475.30,474.73,471.46,469.24,464.85,461.65,,2025-02-13 12:25:46,27,Exp003_R150_#2674_3734,19.23,16185,72.0,22.12,239350,23.139,37.78,347363,15.061,Stream 2 - R150
