Date      	File 	RT (sec)       	Area           	H2             	RT (sec)       _1	Area           _2	N2             	RT (sec)       _3	Area           _4	NH3            	Sample name
05.02.2025 17:39:25	Exp003_R150_#2674_001	19.53	9	0	0	0	0	38.65	23867	1.035	Stream 2 - R150
05.02.2025 17:42:25	Exp003_R150_#2674_002	19.47	10297	0	0	0	0	39.52	63	0.003	Stream 2 - R150
05.02.2025 17:45:25	Exp003_R150_#2674_003	19.6	16279	0	0	0	0	40.05	20	0.001	Stream 2 - R150
05.02.2025 17:48:25	Exp003_R150_#2674_004	19.6	16149	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 17:51:25	Exp003_R150_#2674_005	19.6	16078	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 17:54:25	Exp003_R150_#2674_006	19.57	14727	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 17:57:25	Exp003_R150_#2674_007	19.57	14765	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 18:00:25	Exp003_R150_#2674_008	19.57	14795	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 18:03:26	Exp003_R150_#2674_009	19.6	16265	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 18:06:26	Exp003_R150_#2674_010	19.61	16348	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 18:09:26	Exp003_R150_#2674_011	19.61	16598	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 18:12:26	Exp003_R150_#2674_012	19.57	14678	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 18:15:26	Exp003_R150_#2674_013	19.6	16251	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 18:18:26	Exp003_R150_#2674_014	19.61	16411	0	0	0	0	0	0	0	Stream 2 - R150
05.02.2025 18:21:26	Exp003_R150_#2674_015	19.61	16580	0	26.77	274695	26.557	0	0	0	Stream 2 - R150
05.02.2025 18:24:27	Exp003_R150_#2674_016	19.61	16531	0	26.77	274490	26.537	0	0	0	Stream 2 - R150
05.02.2025 18:27:27	Exp003_R150_#2674_017	19.61	16433	0	26.77	274510	26.539	0	0	0	Stream 2 - R150
05.02.2025 18:30:27	Exp003_R150_#2674_018	19.61	16382	0	26.77	274463	26.534	0	0	0	Stream 2 - R150
05.02.2025 18:33:27	Exp003_R150_#2674_019	19.6	16281	0	26.76	274550	26.543	0	0	0	Stream 2 - R150
05.02.2025 18:36:27	Exp003_R150_#2674_020	19.6	16178	0	26.76	274398	26.528	0	0	0	Stream 2 - R150
05.02.2025 18:39:28	Exp003_R150_#2674_021	19.57	14764	0	26.76	274402	26.528	0	0	0	Stream 2 - R150
05.02.2025 18:42:27	Exp003_R150_#2674_022	19.57	14630	0	26.75	274442	26.532	0	0	0	Stream 2 - R150
05.02.2025 18:45:27	Exp003_R150_#2674_023	19.56	14503	0	26.75	274361	26.524	0	0	0	Stream 2 - R150
05.02.2025 18:48:27	Exp003_R150_#2674_024	19.5	11579	0	26.74	274499	26.538	0	0	0	Stream 2 - R150
05.02.2025 18:51:27	Exp003_R150_#2674_025	19.56	14380	0	26.74	274515	26.539	0	0	0	Stream 2 - R150
05.02.2025 18:54:28	Exp003_R150_#2674_026	19.56	14321	0	26.74	274481	26.536	0	0	0	Stream 2 - R150
05.02.2025 18:57:28	Exp003_R150_#2674_027	19.56	14236	0	26.74	274379	26.526	0	0	0	Stream 2 - R150
05.02.2025 19:00:28	Exp003_R150_#2674_028	19.56	14174	0	26.74	274372	26.525	0	0	0	Stream 2 - R150
05.02.2025 19:03:28	Exp003_R150_#2674_029	19.51	11836	0	26.74	274356	26.524	0	0	0	Stream 2 - R150
05.02.2025 19:06:28	Exp003_R150_#2674_030	19.51	11755	0	26.73	274374	26.525	0	0	0	Stream 2 - R150
05.02.2025 19:09:29	Exp003_R150_#2674_031	19.5	11630	0	26.73	274485	26.536	0	0	0	Stream 2 - R150
05.02.2025 19:12:28	Exp003_R150_#2674_032	19.5	11583	0	26.73	274361	26.524	0	0	0	Stream 2 - R150
05.02.2025 19:15:29	Exp003_R150_#2674_033	19.5	11597	0	26.73	274357	26.524	0	0	0	Stream 2 - R150
05.02.2025 19:18:29	Exp003_R150_#2674_034	19.5	11585	0	26.73	274400	26.528	0	0	0	Stream 2 - R150
05.02.2025 19:21:29	Exp003_R150_#2674_035	19.5	11519	0	26.73	274375	26.526	0	0	0	Stream 2 - R150
05.02.2025 19:24:29	Exp003_R150_#2674_036	19.5	11439	0	26.72	274395	26.528	0	0	0	Stream 2 - R150
05.02.2025 19:27:29	Exp003_R150_#2674_037	19.5	11431	0	26.72	274368	26.525	0	0	0	Stream 2 - R150
05.02.2025 19:30:29	Exp003_R150_#2674_038	19.5	11400	0	26.72	274405	26.528	0	0	0	Stream 2 - R150
05.02.2025 19:33:29	Exp003_R150_#2674_039	19.5	11296	0	26.72	274488	26.536	0	0	0	Stream 2 - R150
05.02.2025 19:36:29	Exp003_R150_#2674_040	19.5	11430	0	26.72	274288	26.517	0	0	0	Stream 2 - R150
05.02.2025 19:39:30	Exp003_R150_#2674_041	19.5	11366	0	26.72	274474	26.535	0	0	0	Stream 2 - R150
05.02.2025 19:42:29	Exp003_R150_#2674_042	19.44	8965	0	26.72	274399	26.528	0	0	0	Stream 2 - R150
05.02.2025 19:45:30	Exp003_R150_#2674_043	19.5	11309	0	26.72	274478	26.536	0	0	0	Stream 2 - R150
05.02.2025 19:48:30	Exp003_R150_#2674_044	19.5	11268	0	26.72	274417	26.53	0	0	0	Stream 2 - R150
05.02.2025 19:51:30	Exp003_R150_#2674_045	19.5	11324	0	26.72	274574	26.545	0	0	0	Stream 2 - R150
05.02.2025 19:54:30	Exp003_R150_#2674_046	19.5	11385	0	26.72	274379	26.526	0	0	0	Stream 2 - R150
05.02.2025 19:57:30	Exp003_R150_#2674_047	19.5	11543	0	26.72	274497	26.537	0	0	0	Stream 2 - R150
05.02.2025 20:00:30	Exp003_R150_#2674_048	19.5	11534	0	26.72	274406	26.529	0	0	0	Stream 2 - R150
05.02.2025 20:03:30	Exp003_R150_#2674_049	19.5	11644	0	26.73	274474	26.535	0	0	0	Stream 2 - R150
05.02.2025 20:06:31	Exp003_R150_#2674_050	19.5	11638	0	26.73	274410	26.529	0	0	0	Stream 2 - R150
05.02.2025 20:09:31	Exp003_R150_#2674_051	19.5	11425	0	26.72	274447	26.533	0	0	0	Stream 2 - R150
05.02.2025 20:12:30	Exp003_R150_#2674_052	19.56	14181	0	26.73	274385	26.527	0	0	0	Stream 2 - R150
05.02.2025 20:15:31	Exp003_R150_#2674_053	19.56	14267	0	26.73	274378	26.526	0	0	0	Stream 2 - R150
05.02.2025 20:18:30	Exp003_R150_#2674_054	19.56	14330	0	26.73	274374	26.525	0	0	0	Stream 2 - R150
05.02.2025 20:21:31	Exp003_R150_#2674_055	19.56	14346	0	26.73	274496	26.537	0	0	0	Stream 2 - R150
05.02.2025 20:24:31	Exp003_R150_#2674_056	19.56	14398	0	26.73	274391	26.527	0	0	0	Stream 2 - R150
05.02.2025 20:27:31	Exp003_R150_#2674_057	19.56	14507	0	26.74	274370	26.525	0	0	0	Stream 2 - R150
05.02.2025 20:30:31	Exp003_R150_#2674_058	19.56	14500	0	26.74	274473	26.535	0	0	0	Stream 2 - R150
05.02.2025 20:33:31	Exp003_R150_#2674_059	19.56	14574	0	26.74	274452	26.533	0	0	0	Stream 2 - R150
05.02.2025 20:36:31	Exp003_R150_#2674_060	19.57	14697	0	26.74	274431	26.531	0	0	0	Stream 2 - R150
